,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
473,Salalah,OM,84.2,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
478,Itarema,BR,85.55,clear sky,-2.92,-39.92,Windvillage
479,Ouro Preto Do Oeste,BR,88.52,clear sky,-10.75,-62.22,Graúna Resort Hotel
480,Ceres,US,75.2,clear sky,37.59,-120.96,Howard Johnson by Wyndham Modesto Ceres
481,Ha Tinh,VN,86.99,overcast clouds,18.33,105.9,Phú Quý
483,Vallenar,CL,80.33,clear sky,-28.57,-70.76,Humacao Bed & Breakfast
484,Hirara,JP,84.47,overcast clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
486,Aksaray,TR,78.8,few clouds,38.37,34.03,Kuzucular Park Hotel
490,Banda Aceh,ID,80.2,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
495,Dicabisagan,PH,80.98,broken clouds,17.08,122.42,
504,Mayo,US,86.0,scattered clouds,38.89,-76.51,Resorts Resource Group International
506,Changji,CN,80.6,overcast clouds,44.02,87.32,Lvye Holiday Resort
507,Sibolga,ID,78.33,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
510,Voyvozh,RU,79.68,clear sky,62.89,54.96,
513,Las Matas De Farfan,DO,88.3,few clouds,18.87,-71.52,Servicios de Grúas tubito
515,Zhuhai,CN,87.01,few clouds,22.28,113.57,珠海粤财假日酒店
516,George Town,MY,82.4,few clouds,5.41,100.34,Cititel Penang
517,Kursumlija,RS,82.4,clear sky,43.15,21.27,The old willow
518,Lata,PT,84.0,clear sky,40.16,-8.33,Casa Maquia
524,Dawei,MM,79.09,overcast clouds,14.08,98.2,Hotel Dawei
531,Rio Branco,BR,80.6,broken clouds,-9.97,-67.81,João Paulo Hotel
535,Khani,GE,75.2,broken clouds,41.96,42.96,კურორტი ზეკარი/Resort Zekari
539,Blagoyevo,RU,83.71,few clouds,63.37,47.92,
545,Almaznyy,RU,77.0,scattered clouds,48.04,40.05,
546,Banjar,ID,78.8,scattered clouds,-8.19,114.97,The Hamsa Resort
547,Catuday,PH,82.56,broken clouds,16.29,119.81,GResort
552,Rockport,US,89.6,broken clouds,28.02,-97.05,Holiday Inn Express & Suites Rockport - Bay View
555,Grants,US,82.4,clear sky,35.15,-107.85,"Motel 6 Grants, NM"
556,Kuching,MY,75.2,scattered clouds,1.55,110.33,Hilton Kuching
559,Porto Novo,BJ,78.8,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
