,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Rain (inches),Snow (inches)
97,Cabo San Lucas,22.89,-109.91,86.0,69,20,11.41,few clouds,MX,0.0,0
98,Agboville,5.93,-4.21,77.45,84,94,6.29,light rain,CI,0.18,0
99,Igarka,67.47,86.58,61.39,61,83,12.77,broken clouds,RU,0.0,0
100,Cockburn Town,21.46,-71.14,86.0,74,40,12.75,scattered clouds,TC,0.0,0
101,Weymouth,42.22,-70.94,89.01,65,93,3.36,light rain,US,0.19,0
102,Chuy,-33.7,-53.46,51.98,66,47,14.52,scattered clouds,UY,0.0,0
103,Mar Del Plata,-38.0,-57.56,50.0,53,1,11.41,clear sky,AR,0.0,0
104,Vanimo,-2.67,141.3,77.95,86,93,6.62,overcast clouds,PG,0.0,0
105,Cayenne,4.93,-52.33,86.0,70,64,8.05,thunderstorm,GF,0.0,0
106,Lompoc,34.64,-120.46,57.2,93,90,5.14,overcast clouds,US,0.0,0
107,Deer Lake,49.17,-57.43,57.2,82,90,9.17,light rain,CA,0.0,0
108,Norman Wells,65.28,-126.83,55.4,71,75,2.24,broken clouds,CA,0.0,0
109,Butaritari,3.07,172.79,82.99,76,4,14.45,light rain,KI,0.14,0
110,Chifeng,42.27,118.96,66.52,70,88,1.43,overcast clouds,CN,0.0,0
111,Ordzhonikidze,52.44,61.74,72.75,59,0,4.47,clear sky,KZ,0.0,0
112,Bathsheba,13.22,-59.52,87.8,62,40,21.92,scattered clouds,BB,0.0,0
113,Touros,-5.2,-35.46,82.4,74,75,11.41,shower rain,BR,0.0,0
114,Port Macquarie,-31.43,152.92,48.99,97,100,5.95,overcast clouds,AU,0.0,0
115,Bandarbeyla,9.49,50.81,79.7,71,100,33.76,overcast clouds,SO,0.0,0
116,Vaini,-21.2,-175.2,71.6,88,75,5.82,broken clouds,TO,0.0,0
117,Saldanha,-33.01,17.94,53.6,93,100,9.17,light rain,ZA,0.88,0
118,Port-Cartier,50.03,-66.87,64.4,88,75,6.93,broken clouds,CA,0.0,0
119,Saint-Philippe,-21.36,55.77,69.8,83,75,20.8,broken clouds,RE,0.0,0
120,Bubaque,11.28,-15.83,82.9,82,58,16.82,broken clouds,GW,0.0,0
121,Mahebourg,-20.41,57.7,71.6,60,20,16.11,few clouds,MU,0.0,0
122,Asfi,32.3,-9.24,71.91,72,0,20.13,clear sky,MA,0.0,0
123,Grootfontein,-19.57,18.12,60.91,31,0,7.38,clear sky,NA,0.0,0
124,Namatanai,-3.67,152.43,79.32,82,38,6.69,light rain,PG,0.28,0
125,Ozerne,50.18,28.73,63.1,82,48,1.63,scattered clouds,UA,0.0,0
126,Tautira,-17.73,-149.15,69.8,77,20,3.36,few clouds,PF,0.0,0
127,Preobrazheniye,42.9,133.91,62.8,65,0,6.58,clear sky,RU,0.0,0
128,Khatanga,71.97,102.5,56.53,61,6,18.39,clear sky,RU,0.0,0
129,Souillac,-20.52,57.52,71.6,60,20,16.11,few clouds,MU,0.0,0
130,Bani Walid,31.76,13.99,87.13,37,0,22.59,clear sky,LY,0.0,0
131,Goderich,43.75,-81.72,84.99,68,35,7.56,light rain,CA,0.33,0
132,Torbay,47.67,-52.73,64.0,59,75,6.93,broken clouds,CA,0.0,0
133,El Estor,15.53,-89.35,85.05,70,72,3.53,light rain,GT,0.61,0
134,Boende,-0.22,20.87,81.0,66,100,0.83,light rain,CD,0.15,0
135,Japura,-0.32,102.35,71.65,97,100,1.54,overcast clouds,ID,0.0,0
136,Portsmouth,50.8,-1.09,64.99,87,96,5.99,overcast clouds,GB,0.0,0
137,Rio Gallegos,-51.62,-69.22,33.8,74,49,17.22,scattered clouds,AR,0.0,0
138,Cabedelo,-6.98,-34.83,84.2,70,75,14.99,broken clouds,BR,0.0,0
139,Sept-Iles,50.2,-66.38,64.4,88,75,6.93,broken clouds,CA,0.0,0
140,Gornyye Klyuchi,45.25,133.5,58.75,93,8,1.34,clear sky,RU,0.0,0
141,Nove Mesto Na Morave,49.56,16.07,72.0,60,89,1.01,light rain,CZ,0.12,0
142,Mehamn,71.04,27.85,48.2,81,75,14.99,broken clouds,NO,0.0,0
143,Castro,-24.79,-50.01,59.56,49,92,5.55,overcast clouds,BR,0.0,0
144,Kaitangata,-46.28,169.85,48.0,74,47,7.0,scattered clouds,NZ,0.0,0
145,Antalaha,-14.9,50.28,68.9,83,37,12.15,scattered clouds,MG,0.0,0
146,Srednekolymsk,67.45,153.68,54.32,86,86,5.66,overcast clouds,RU,0.0,0
147,Aklavik,68.22,-135.01,42.8,93,90,11.41,light intensity drizzle,CA,0.0,0
148,Dong Hoi,17.48,106.6,84.81,70,100,6.73,overcast clouds,VN,0.0,0
